dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Test 2,SupportVector,50.5,45312.000000,0.787100,0.802025,0.798461,0.801148,28.792705,1.823963e+02,4.188622e-04,2.160609e-03
Test 2,Neighbors,50.5,45312.000000,0.831933,0.837076,0.837163,0.837471,0.118632,6.138281e+00,1.409703e-05,7.271643e-05
Test 2,Neighbors,50.5,45312.000000,0.823545,0.830584,0.830365,0.831071,0.110121,6.138281e+00,1.409703e-05,7.271643e-05
Test 2,Neighbors,50.5,45312.000000,0.829744,0.834950,0.835041,0.835356,0.109832,6.138281e+00,1.409703e-05,7.271643e-05
Test 2,Neighbors,50.5,45312.000000,0.832356,0.837035,0.837138,0.837343,0.110171,6.138281e+00,1.409703e-05,7.271643e-05
Test 2,Neighbors,50.5,45312.000000,0.832115,0.838103,0.838072,0.838557,0.110187,6.138281e+00,1.409703e-05,7.271643e-05
Test 2,NaiveBayes,50.0,45312.000000,0.701267,0.766833,0.717364,0.737504,0.056968,1.206990e+00,2.771875e-06,1.429811e-05
Test 2,NaiveBayes,50.0,45312.000000,0.684716,0.770119,0.698722,0.726139,0.056347,1.206990e+00,2.771875e-06,1.429811e-05
Test 2,NaiveBayes,50.0,45312.000000,0.668150,0.765204,0.679492,0.712977,0.056448,1.206990e+00,2.771875e-06,1.429811e-05
Test 2,NaiveBayes,50.0,45312.000000,0.699273,0.771841,0.715092,0.737144,0.056302,1.206990e+00,2.771875e-06,1.429811e-05
Test 2,NaiveBayes,50.0,45312.000000,0.688221,0.768198,0.702879,0.728426,0.056296,1.206990e+00,2.771875e-06,1.429811e-05
Test 2,GradientBoost,50.0,45312.000000,0.820974,0.828504,0.828162,0.828975,5.968422,3.071639e+01,7.054295e-05,3.638804e-04
Test 2,GradientBoost,50.0,45312.000000,0.822488,0.832291,0.831030,0.832285,5.911906,3.071639e+01,7.054295e-05,3.638804e-04
Test 2,GradientBoost,50.0,45312.000000,0.825201,0.834956,0.833687,0.834915,5.916859,3.071639e+01,7.054295e-05,3.638804e-04
Test 2,GradientBoost,50.0,45312.000000,0.827570,0.835461,0.834931,0.835798,5.903960,3.071639e+01,7.054295e-05,3.638804e-04
Test 2,GradientBoost,50.0,45312.000000,0.830138,0.838306,0.837646,0.838557,5.911952,3.071639e+01,7.054295e-05,3.638804e-04
Test 2,Neural,98.0,45312.000000,0.825385,0.830651,0.830752,0.831071,36.633240,1.913110e+02,4.393792e-04,2.266442e-03
Test 2,Neural,98.0,45312.000000,0.817674,0.824791,0.824604,0.825334,38.516112,1.913110e+02,4.393792e-04,2.266442e-03
Test 2,Neural,98.0,45312.000000,0.820561,0.823852,0.823460,0.823218,31.885958,1.913110e+02,4.393792e-04,2.266442e-03
Test 2,Neural,98.0,45312.000000,0.826503,0.831030,0.831127,0.831273,39.703415,1.913110e+02,4.393792e-04,2.266442e-03
Test 2,Neural,98.0,45312.000000,0.824142,0.830325,0.830310,0.830832,43.625031,1.913110e+02,4.393792e-04,2.266442e-03
Test 2 (P),Linear,98.0,45312.000000,0.742392,0.760573,0.755441,0.759903,0.102806,1.968267e+00,4.526156e-06,2.334719e-05
Test 2 (P),Linear,98.0,45312.000000,0.744838,0.764322,0.758218,0.762992,0.102771,1.968267e+00,4.526156e-06,2.334719e-05
Test 2 (P),Linear,98.0,45312.000000,0.743752,0.764479,0.757476,0.762635,0.101475,1.968267e+00,4.526156e-06,2.334719e-05
Test 2 (P),Linear,98.0,45312.000000,0.743124,0.761173,0.756138,0.760539,0.104516,1.968267e+00,4.526156e-06,2.334719e-05
Test 2 (P),Linear,98.0,45312.000000,0.741217,0.760332,0.754555,0.759325,0.092666,1.968267e+00,4.526156e-06,2.334719e-05
Test 2 (P),Forest,91.0,45312.000000,0.899467,0.903683,0.903566,0.903785,5.743297,1.803800e+01,4.153507e-05,2.142496e-04
Test 2 (P),Forest,91.0,45312.000000,0.902497,0.908147,0.907624,0.907977,5.647966,1.803800e+01,4.153507e-05,2.142496e-04
Test 2 (P),Forest,91.0,45312.000000,0.900300,0.904942,0.904727,0.904988,5.629763,1.803800e+01,4.153507e-05,2.142496e-04
Test 2 (P),Forest,91.0,45312.000000,0.904939,0.908988,0.908871,0.909071,5.607676,1.803800e+01,4.153507e-05,2.142496e-04
Test 2 (P),Forest,91.0,45312.000000,0.907048,0.911478,0.911265,0.911499,5.586039,1.803800e+01,4.153507e-05,2.142496e-04
Test 2 (P),SupportVector,76.5,45312.000000,0.784673,0.798124,0.795473,0.797859,29.607697,1.115613e+02,2.573134e-04,1.327295e-03
Test 2 (P),SupportVector,76.5,45312.000000,0.787638,0.802116,0.798810,0.801390,29.483222,1.115613e+02,2.573134e-04,1.327295e-03
Test 2 (P),SupportVector,76.5,45312.000000,0.786580,0.801610,0.797988,0.800706,29.461492,1.115613e+02,2.573134e-04,1.327295e-03
Test 2 (P),SupportVector,76.5,45312.000000,0.790149,0.803681,0.800913,0.803244,29.653611,1.115613e+02,2.573134e-04,1.327295e-03
Test 2 (P),SupportVector,76.5,45312.000000,0.787100,0.802025,0.798461,0.801148,29.523345,1.115613e+02,2.573134e-04,1.327295e-03
Test 2 (P),Neighbors,78.5,45312.000000,0.831933,0.837076,0.837163,0.837471,0.120609,3.878673e+00,8.942314e-06,4.612698e-05
Test 2 (P),Neighbors,78.5,45312.000000,0.823545,0.830584,0.830365,0.831071,0.113002,3.878673e+00,8.942314e-06,4.612698e-05
Test 2 (P),Neighbors,78.5,45312.000000,0.829744,0.834950,0.835041,0.835356,0.111617,3.878673e+00,8.942314e-06,4.612698e-05
Test 2 (P),Neighbors,78.5,45312.000000,0.832356,0.837035,0.837138,0.837343,0.112336,3.878673e+00,8.942314e-06,4.612698e-05
Test 2 (P),Neighbors,78.5,45312.000000,0.832115,0.838103,0.838072,0.838557,0.110770,3.878673e+00,8.942314e-06,4.612698e-05
Test 2 (P),NaiveBayes,78.5,45312.000000,0.701267,0.766833,0.717364,0.737504,0.058096,8.634176e-01,1.990504e-06,1.026758e-05
Test 2 (P),NaiveBayes,78.5,45312.000000,0.684716,0.770119,0.698722,0.726139,0.059544,8.634176e-01,1.990504e-06,1.026758e-05
Test 2 (P),NaiveBayes,78.5,45312.000000,0.668150,0.765204,0.679492,0.712977,0.058719,8.634176e-01,1.990504e-06,1.026758e-05
Test 2 (P),NaiveBayes,78.5,45312.000000,0.699273,0.771841,0.715092,0.737144,0.057545,8.634176e-01,1.990504e-06,1.026758e-05
Test 2 (P),NaiveBayes,78.5,45312.000000,0.688221,0.768198,0.702879,0.728426,0.058051,8.634176e-01,1.990504e-06,1.026758e-05
Test 2 (P),GradientBoost,80.5,45312.000000,0.820974,0.828504,0.828162,0.828975,5.929006,1.850516e+01,4.266476e-05,2.200768e-04
Test 2 (P),GradientBoost,80.5,45312.000000,0.822488,0.832291,0.831030,0.832285,5.954549,1.850516e+01,4.266476e-05,2.200768e-04
Test 2 (P),GradientBoost,80.5,45312.000000,0.825201,0.834956,0.833687,0.834915,5.939123,1.850516e+01,4.266476e-05,2.200768e-04
Test 2 (P),GradientBoost,80.5,45312.000000,0.827570,0.835461,0.834931,0.835798,5.946570,1.850516e+01,4.266476e-05,2.200768e-04
Test 2 (P),GradientBoost,80.5,45312.000000,0.830138,0.838306,0.837646,0.838557,5.948819,1.850516e+01,4.266476e-05,2.200768e-04
Test 2 (P),Neural,82.0,45312.000000,0.819698,0.826337,0.826255,0.826879,28.421165,9.385659e+01,2.163954e-04,1.116228e-03
Test 2 (P),Neural,82.0,45312.000000,0.815931,0.821926,0.821992,0.822465,29.824613,9.385659e+01,2.163954e-04,1.116228e-03
Test 2 (P),Neural,82.0,45312.000000,0.821221,0.827763,0.827694,0.828294,39.903643,9.385659e+01,2.163954e-04,1.116228e-03
Test 2 (P),Neural,82.0,45312.000000,0.816785,0.827271,0.825767,0.827190,32.521946,9.385659e+01,2.163954e-04,1.116228e-03
Test 2 (P),Neural,82.0,45312.000000,0.811925,0.824742,0.822075,0.823990,30.801340,9.385659e+01,2.163954e-04,1.116228e-03
Test 3,Linear,42.5,45312.000000,0.742392,0.760573,0.755441,0.759903,0.109671,1.810414e+00,4.151094e-06,2.141251e-05
Test 3,Linear,42.5,45312.000000,0.744838,0.764322,0.758218,0.762992,0.109740,1.810414e+00,4.151094e-06,2.141251e-05
Test 3,Linear,42.5,45312.000000,0.743752,0.764479,0.757476,0.762635,0.112113,1.810414e+00,4.151094e-06,2.141251e-05
Test 3,Linear,42.5,45312.000000,0.743124,0.761173,0.756138,0.760539,0.118374,1.810414e+00,4.151094e-06,2.141251e-05
Test 3,Linear,42.5,45312.000000,0.741217,0.760332,0.754555,0.759325,0.116335,1.810414e+00,4.151094e-06,2.141251e-05
Test 3,Forest,34.75,45312.000000,0.901725,0.905901,0.905778,0.905991,6.728861,3.500286e+01,8.030780e-05,4.142503e-04
Test 3,Forest,34.75,45312.000000,0.902099,0.907266,0.906895,0.907205,6.664987,3.500286e+01,8.030780e-05,4.142503e-04
