dataset,model,cpu_load,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed,n_samples
Iris,Linear,0.9375,1.000000,1.000000,1.000000,1.000000,0.004831,6.080294e-02,1.838216e-07,9.482037e-07,150
Iris,Forest,0.9375,0.933333,0.933333,0.933333,0.933333,0.075933,1.020593e+00,2.330302e-06,1.202035e-05,150
Iris,Forest,0.9375,0.966667,0.969697,0.966583,0.966667,0.075967,1.020593e+00,2.330302e-06,1.202035e-05,150
Iris,Forest,0.9375,0.933333,0.933333,0.933333,0.933333,0.077565,1.020593e+00,2.330302e-06,1.202035e-05,150
Iris,Forest,0.9375,0.933333,0.933333,0.933333,0.933333,0.078502,1.020593e+00,2.330302e-06,1.202035e-05,150
Iris,Forest,0.9375,1.000000,1.000000,1.000000,1.000000,0.077740,1.020593e+00,2.330302e-06,1.202035e-05,150
Iris,SupportVector,1.375,0.900000,0.902357,0.899749,0.900000,0.003928,5.121875e-02,1.174303e-07,6.057387e-07,150
Iris,SupportVector,1.375,1.000000,1.000000,1.000000,1.000000,0.003579,5.121875e-02,1.174303e-07,6.057387e-07,150
Iris,SupportVector,1.375,0.933333,0.933333,0.933333,0.933333,0.003331,5.121875e-02,1.174303e-07,6.057387e-07,150
Iris,SupportVector,1.375,0.933333,0.933333,0.933333,0.933333,0.003468,5.121875e-02,1.174303e-07,6.057387e-07,150
Iris,SupportVector,1.375,1.000000,1.000000,1.000000,1.000000,0.003416,5.121875e-02,1.174303e-07,6.057387e-07,150
Iris,Neighbors,1.375,0.933333,0.933333,0.933333,0.933333,0.003382,5.805707e-02,1.761418e-07,9.085892e-07,150
Iris,Neighbors,1.375,0.966667,0.969697,0.966583,0.966667,0.003427,5.805707e-02,1.761418e-07,9.085892e-07,150
Iris,Neighbors,1.375,0.933333,0.933333,0.933333,0.933333,0.003241,5.805707e-02,1.761418e-07,9.085892e-07,150
Iris,Neighbors,1.375,0.900000,0.902357,0.899749,0.900000,0.003066,5.805707e-02,1.761418e-07,9.085892e-07,150
Iris,Neighbors,1.375,1.000000,1.000000,1.000000,1.000000,0.003082,5.805707e-02,1.761418e-07,9.085892e-07,150
Iris,NaiveBayes,1.375,0.933333,0.933333,0.933333,0.933333,0.003736,5.443764e-02,1.247584e-07,6.435389e-07,150
Iris,NaiveBayes,1.375,1.000000,1.000000,1.000000,1.000000,0.004460,5.443764e-02,1.247584e-07,6.435389e-07,150
Iris,NaiveBayes,1.375,0.966667,0.969697,0.966583,0.966667,0.004181,5.443764e-02,1.247584e-07,6.435389e-07,150
Iris,NaiveBayes,1.375,0.933333,0.933333,0.933333,0.933333,0.003252,5.443764e-02,1.247584e-07,6.435389e-07,150
Iris,NaiveBayes,1.375,0.966667,0.969697,0.966583,0.966667,0.003639,5.443764e-02,1.247584e-07,6.435389e-07,150
Iris,GradientBoost,1.7500000000000002,0.900000,0.902357,0.899749,0.900000,0.211546,1.508073e+00,3.448376e-06,1.778770e-05,150
Iris,GradientBoost,1.7500000000000002,0.966667,0.969697,0.966583,0.966667,0.180898,1.508073e+00,3.448376e-06,1.778770e-05,150
Iris,GradientBoost,1.7500000000000002,0.933333,0.933333,0.933333,0.933333,0.186323,1.508073e+00,3.448376e-06,1.778770e-05,150
Iris,GradientBoost,1.7500000000000002,0.933333,0.933333,0.933333,0.933333,0.183692,1.508073e+00,3.448376e-06,1.778770e-05,150
Iris,GradientBoost,1.7500000000000002,0.966667,0.969697,0.966583,0.966667,0.186477,1.508073e+00,3.448376e-06,1.778770e-05,150
Iris,Neural,2.125,0.866667,0.875000,0.865320,0.866667,0.172225,1.404664e+00,3.211059e-06,1.656355e-05,150
Iris,Neural,2.125,1.000000,1.000000,1.000000,1.000000,0.154711,1.404664e+00,3.211059e-06,1.656355e-05,150
Iris,Neural,2.125,0.966667,0.969697,0.966583,0.966667,0.180257,1.404664e+00,3.211059e-06,1.656355e-05,150
Iris,Neural,2.125,0.900000,0.906061,0.901504,0.900000,0.161988,1.404664e+00,3.211059e-06,1.656355e-05,150
Iris,Neural,2.125,1.000000,1.000000,1.000000,1.000000,0.161652,1.404664e+00,3.211059e-06,1.656355e-05,150
Phoneme,Linear,2.5625,0.676534,0.744980,0.747774,0.756707,0.095247,4.547079e-01,1.369760e-06,7.065607e-06,5404
Phoneme,Linear,2.5625,0.681502,0.752879,0.754598,0.765032,0.018316,4.547079e-01,1.369760e-06,7.065607e-06,5404
Phoneme,Linear,2.5625,0.644334,0.720791,0.724063,0.737280,0.016060,4.547079e-01,1.369760e-06,7.065607e-06,5404
Phoneme,Linear,2.5625,0.669795,0.740902,0.743422,0.753932,0.052424,4.547079e-01,1.369760e-06,7.065607e-06,5404
Phoneme,Linear,2.5625,0.666886,0.731727,0.735184,0.741667,0.032927,4.547079e-01,1.369760e-06,7.065607e-06,5404
Phoneme,Forest,2.8125,0.901149,0.917746,0.917707,0.917669,0.913378,5.452503e+00,1.249918e-05,6.447429e-05,5404
Phoneme,Forest,2.8125,0.899153,0.920703,0.920878,0.921369,0.910037,5.452503e+00,1.249918e-05,6.447429e-05,5404
Phoneme,Forest,2.8125,0.880258,0.903180,0.903429,0.903793,0.968512,5.452503e+00,1.249918e-05,6.447429e-05,5404
Phoneme,Forest,2.8125,0.885608,0.913974,0.913793,0.914894,0.969130,5.452503e+00,1.249918e-05,6.447429e-05,5404
Phoneme,Forest,2.8125,0.877329,0.900360,0.900599,0.900926,0.940701,5.452503e+00,1.249918e-05,6.447429e-05,5404
Phoneme,SupportVector,3.125,0.819766,0.849171,0.848701,0.848289,0.286108,2.474220e+00,5.666485e-06,2.922932e-05,5404
Phoneme,SupportVector,3.125,0.792684,0.831555,0.832363,0.833488,0.300262,2.474220e+00,5.666485e-06,2.922932e-05,5404
Phoneme,SupportVector,3.125,0.789143,0.828059,0.828808,0.829787,0.286386,2.474220e+00,5.666485e-06,2.922932e-05,5404
Phoneme,SupportVector,3.125,0.833846,0.866193,0.866761,0.867715,0.292248,2.474220e+00,5.666485e-06,2.922932e-05,5404
Phoneme,SupportVector,3.125,0.806564,0.837560,0.836772,0.836111,0.297907,2.474220e+00,5.666485e-06,2.922932e-05,5404
Phoneme,Neighbors,3.375,0.847051,0.874573,0.874823,0.875116,0.009681,1.077281e+00,2.460793e-06,1.269347e-05,5404
Phoneme,Neighbors,3.375,0.844904,0.880591,0.880795,0.882516,0.009538,1.077281e+00,2.460793e-06,1.269347e-05,5404
Phoneme,Neighbors,3.375,0.845977,0.877318,0.877813,0.878816,0.010145,1.077281e+00,2.460793e-06,1.269347e-05,5404
Phoneme,Neighbors,3.375,0.841057,0.882581,0.881758,0.884366,0.010063,1.077281e+00,2.460793e-06,1.269347e-05,5404
Phoneme,Neighbors,3.375,0.825302,0.861701,0.862338,0.863889,0.010231,1.077281e+00,2.460793e-06,1.269347e-05,5404
Phoneme,NaiveBayes,3.375,0.729537,0.767385,0.739864,0.729880,0.008404,1.595750e-01,4.768549e-07,2.459752e-06,5404
Phoneme,NaiveBayes,3.375,0.769256,0.798933,0.781249,0.774283,0.008556,1.595750e-01,4.768549e-07,2.459752e-06,5404
Phoneme,NaiveBayes,3.375,0.728665,0.767160,0.752631,0.745606,0.009748,1.595750e-01,4.768549e-07,2.459752e-06,5404
Phoneme,NaiveBayes,3.375,0.767007,0.797686,0.785456,0.779833,0.008668,1.595750e-01,4.768549e-07,2.459752e-06,5404
